word,meaning,sentence
abide,to accept or act in accordance with; or live in a place
acclaim,to praise enthusiastically and publicly; to cheer
acoustic,relating to sound or the sense of hearing
address,to speak to an assembly; to think about or deal with
adverse,unpleasant; not likely to produce a good result; harmful
affectionate,showing feelings of liking and love for someone
antiquity,"the ancient past, especially the period before the Middle Ages"
bombard,to attack continuously with guns or information
botanist,an expert in or student of the scientific study of plants
bout,a short period of intense activity; an instance of something
concerning,regarding; about; relating to
conform,to behave according to standard procedures or rules
consecutive,following each other continuously in an unbroken sequence
coolness,the quality of being calm and not getting excited or nervous
counsellor,a person trained to advise people on personal or psychological problems
counteract,to reduce or prevent the bad effect of something by acting against it
depict,"to represent in a picture, drawing, or through words"
disposition,a person's inherent qualities of mind and character; character
droop,"to bend or hang downwards limply, especially out of weakness"
effectual,producing the intended result; effective
exclusively,"for only a particular person, group or use; solely"
expire,to come to an end; (of an agreement) to be no longer valid
exult,to feel or show great happiness or excitement
fatigued,"feeling extremely tired, either physically or mentally"
fermentation,a chemical change caused by the action of yeast or bacteria
generalization,a general statement or concept obtained by inference from specific cases
govern,"to conduct the policy, actions, and affairs of a state or organization"
helium,"a light, colorless chemical element that is a gas"
identify,to establish or indicate who or what someone or something is
imprudence,the quality of not being sensible; lack of caution; rashness
incur,to become subject to something unwelcome or unpleasant as a result of behavior
inspiration,the process of being mentally stimulated to do or feel something creative
long,"to have a strong wish or desire for something, especially if it is unlikely"
merge,to combine or cause to combine to form a single entity
monitor,to observe and check the progress or quality of something over time
notion,a conception of or belief about something; an understanding
nugget,a small lump of a valuable metal or mineral; a valuable idea
persist,to continue firmly or obstinately in an opinion or course of action
pilgrimage,a journey to a place associated with someone or something respected
preoccupied,thinking and/or worrying about something so that you do not notice other things
prevailing,existing or most common at a particular time or in a particular place
projected,estimated or forecast on the basis of current trends
prospector,"a person who searches an area for gold, minerals, or oil"
qualify,to be entitled to a benefit by fulfilling a condition or having an ability
refrain,to stop oneself from doing something
repose,"a state of rest, sleep, or tranquility; feeling calm"
resolve,to find a solution to a problem or settle a dispute
rounding,making a number less exact but more convenient to use
saturated,holding as much of a substance as can be absorbed; soaked
solemn,very serious and sincere; formal and dignified
soluble,"able to be dissolved, especially in a liquid"
subscription,the action of making an advance payment to receive something regularly
