word,meaning
magnitude,"the great size or importance of something"
malady,"a disease or serious illness"
maladjusted,"failing to cope with the demands of a social environment"
malevolent,"having or showing a wish to do evil to others"
malicious,"intending or intended to do harm; spiteful"
malign,"evil in nature; harmful; malevolent"
malleable,"able to be hammered into shape; pliable"
malnutrition,"lack of proper nutrition"
mammoth,"huge or very large"
mandate,"an official order or commission to do something"
manifesto,"a public declaration of policy and aims issued by a group"
manifold,"many and various"
manipulative,"showing unscrupulous control of a situation"
mar,"to impair the appearance of; to disfigure; to spoil"
mark,"a small area having a different color; to write"
marvelous,"causing great wonder; extraordinary"
masculinity,"possession of the qualities traditionally associated with men"
mask,"a covering for the face; a disguise"
massive,"large and heavy; very serious"
masticate,"to chew food"
materialism,"considering material possessions as more important than spiritual values"
materialistic,"excessively concerned with possessions"
matron,"a woman in charge of domestic arrangements"
maximize,"to make as large or great as possible"
maximum,"as great, high, or intense as possible"
mean,"ungenerous in spirit; miserly; low"
median,"the midpoint value in a series of numbers"
mediation,"intervention to resolve a dispute; arbitration"
mediocre,"of only moderate quality; average"
melancholy,"a feeling of pensive sadness; gloomy"
melodramatic,"full of exciting but exaggerated emotions"
mend,"to repair something damaged; to fix"
mendacious,"not telling the truth; lying; false"
menial,"not requiring much skill and lacking prestige"
mentor,"an experienced and trusted adviser"
mercenary,"concerned with making money at the expense of ethics"
mercy,"compassion or forgiveness shown toward someone"
merge,"to combine or cause to combine to form a single entity"
merit,"the quality of being particularly good or worthy"
mesmerizing,"capturing one's attention; hypnotic"
metabolic,"relating to the chemical processes in a living organism"
metamorphosis,"a process of transformation from one form to another"
methodical,"done according to a systematic procedure"
meticulous,"showing great attention to detail; conscientious"
middling,"moderate or average in size or rank"
mien,"a person's look or manner indicating character"
might,"expressing possibility; power or strength"
milieu,"a person's social environment or surroundings"
minimal,"as small as possible; a minimum amount"
minimize,"to reduce to the smallest possible amount; to play down"
minuscule,"extremely small; tiny"
mint,"a place where money is coined; to cast"
mirage,"an optical illusion; a misconception"
mirth,"amusement, especially as expressed in laughter"
